Municipio,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,29/09/2019 00:00,34.1
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,30/09/2019 00:00,36.1
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,01/10/2019 00:00,33.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,02/10/2019 00:00,31.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,03/10/2019 00:00,29
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,04/10/2019 00:00,34.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,05/10/2019 00:00,33.9
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,06/10/2019 00:00,32.3
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,07/10/2019 00:00,34.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,08/10/2019 00:00,29.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,09/10/2019 00:00,32.1
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,10/10/2019 00:00,34.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,11/10/2019 00:00,35.3
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,12/10/2019 00:00,34.2
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,13/10/2019 00:00,35.3
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,14/10/2019 00:00,32.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,15/10/2019 00:00,31.3
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,16/10/2019 00:00,34
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,17/10/2019 00:00,35.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,18/10/2019 00:00,33.5
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,19/10/2019 00:00,29.9
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,20/10/2019 00:00,29.7
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,21/10/2019 00:00,34.2
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,22/10/2019 00:00,33.3
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,23/10/2019 00:00,29.7
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,24/10/2019 00:00,33.3
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,25/10/2019 00:00,31.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,26/10/2019 00:00,35
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,27/10/2019 00:00,31.1
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,28/10/2019 00:00,35.3
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,29/10/2019 00:00,33.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,30/10/2019 00:00,34.7
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,31/10/2019 00:00,30.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,01/11/2019 00:00,36.2
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,02/11/2019 00:00,33.3
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,03/11/2019 00:00,33.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,04/11/2019 00:00,32.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,05/11/2019 00:00,33.4
