city,housecode_complete,house,location,time,temp,rh,dewpt
Neiva,NE1-in,NE1,in,2019-08-09 12:00:00,30.10,44.43,16.68
Neiva,NE1-in,NE1,in,2019-08-09 16:00:00,32.69,37.40,16.28
Neiva,NE1-in,NE1,in,2019-08-09 20:00:00,30.16,45.55,17.12
Neiva,NE1-in,NE1,in,2019-08-10 0:00:00,28.04,53.08,17.61
Neiva,NE1-in,NE1,in,2019-08-10 4:00:00,27.24,52.79,16.78
Neiva,NE1-in,NE1,in,2019-08-10 8:00:00,27.37,54.76,17.48
Neiva,NE1-in,NE1,in,2019-08-10 12:00:00,30.60,43.58,16.82
Neiva,NE1-in,NE1,in,2019-08-10 16:00:00,32.41,39.22,16.78
Neiva,NE1-in,NE1,in,2019-08-10 20:00:00,30.82,45.70,17.78
Neiva,NE1-in,NE1,in,2019-08-11 0:00:00,29.02,50.80,17.81
Neiva,NE1-in,NE1,in,2019-08-11 4:00:00,28.09,51.56,17.19
Neiva,NE1-in,NE1,in,2019-08-11 8:00:00,27.31,58.28,18.42
Neiva,NE1-in,NE1,in,2019-08-11 12:00:00,30.08,49.41,18.35
Neiva,NE1-in,NE1,in,2019-08-11 16:00:00,32.66,40.95,17.68
Neiva,NE1-in,NE1,in,2019-08-11 20:00:00,30.20,47.34,17.77
Neiva,NE1-in,NE1,in,2019-08-12 0:00:00,28.90,49.12,17.17
Neiva,NE1-in,NE1,in,2019-08-12 4:00:00,27.43,52.68,16.93
Neiva,NE1-in,NE1,in,2019-08-12 8:00:00,27.72,54.33,17.69
Neiva,NE1-in,NE1,in,2019-08-12 12:00:00,33.22,37.23,16.68
Neiva,NE1-in,NE1,in,2019-08-12 16:00:00,33.29,39.51,17.68
Neiva,NE1-in,NE1,in,2019-08-12 20:00:00,30.85,42.99,16.84
Neiva,NE1-in,NE1,in,2019-08-13 0:00:00,29.85,45.21,16.72
Neiva,NE1-in,NE1,in,2019-08-13 4:00:00,28.54,49.74,17.04
Neiva,NE1-in,NE1,in,2019-08-13 8:00:00,28.03,52.93,17.56
Neiva,NE1-in,NE1,in,2019-08-13 12:00:00,30.15,48.09,17.97
Neiva,NE1-in,NE1,in,2019-08-13 16:00:00,30.61,49.57,18.88
Neiva,NE1-in,NE1,in,2019-08-13 20:00:00,28.40,52.36,17.72
Neiva,NE1-in,NE1,in,2019-08-14 0:00:00,27.41,62.76,19.70
Neiva,NE1-in,NE1,in,2019-08-14 4:00:00,26.41,60.31,18.13
Neiva,NE1-in,NE1,in,2019-08-14 8:00:00,25.83,63.53,18.41
Neiva,NE1-in,NE1,in,2019-08-14 12:00:00,29.81,45.19,16.69
Neiva,NE1-in,NE1,in,2019-08-14 16:00:00,31.60,36.75,15.05
Neiva,NE1-in,NE1,in,2019-08-14 20:00:00,29.08,44.57,15.81
Neiva,NE1-in,NE1,in,2019-08-15 0:00:00,28.34,45.70,15.53
Neiva,NE1-in,NE1,in,2019-08-15 4:00:00,27.36,45.51,14.57
Neiva,NE1-in,NE1,in,2019-08-15 8:00:00,26.81,48.30,15.00
Neiva,NE1-in,NE1,in,2019-08-15 12:00:00,31.13,35.18,13.96
Neiva,NE1-in,NE1,in,2019-08-15 16:00:00,31.55,38.44,15.70
Neiva,NE1-in,NE1,in,2019-08-15 20:00:00,29.90,44.86,16.65
Neiva,NE1-in,NE1,in,2019-08-16 0:00:00,28.37,45.49,15.48
Neiva,NE1-in,NE1,in,2019-08-16 4:00:00,26.86,47.33,14.73
Neiva,NE1-in,NE1,in,2019-08-16 8:00:00,26.66,47.53,14.61
Neiva,NE1-in,NE1,in,2019-08-16 12:00:00,28.83,41.59,14.50
Neiva,NE1-in,NE1,in,2019-08-16 16:00:00,29.59,39.48,14.38
Neiva,NE1-in,NE1,in,2019-08-16 20:00:00,28.49,44.19,15.14
Neiva,NE1-in,NE1,in,2019-08-17 0:00:00,27.80,46.08,15.16
Neiva,NE1-in,NE1,in,2019-08-17 4:00:00,26.60,51.81,15.90
Neiva,NE1-in,NE1,in,2019-08-17 8:00:00,26.40,52.49,15.92
Neiva,NE1-in,NE1,in,2019-08-17 12:00:00,31.45,31.95,12.76
Neiva,NE1-in,NE1,in,2019-08-17 16:00:00,33.63,30.32,13.84
Neiva,NE1-in,NE1,in,2019-08-17 20:00:00,30.92,40.32,15.89
Neiva,NE1-in,NE1,in,2019-08-18 0:00:00,29.32,42.04,15.11
Neiva,NE1-in,NE1,in,2019-08-18 4:00:00,28.14,45.12,15.15
Neiva,NE1-in,NE1,in,2019-08-18 8:00:00,27.68,46.79,15.29
Neiva,NE1-in,NE1,in,2019-08-18 12:00:00,33.42,30.01,13.49
Neiva,NE1-in,NE1,in,2019-08-18 16:00:00,34.83,29.71,14.55
Neiva,NE1-in,NE1,in,2019-08-18 20:00:00,31.56,40.18,16.41
Neiva,NE1-in,NE1,in,2019-08-19 0:00:00,29.83,42.62,15.79
Neiva,NE1-in,NE1,in,2019-08-19 4:00:00,28.33,47.17,16.02
Neiva,NE1-in,NE1,in,2019-08-19 8:00:00,27.99,50.47,16.77
Neiva,NE1-in,NE1,in,2019-08-19 12:00:00,29.64,47.12,17.19
Neiva,NE1-in,NE1,in,2019-08-19 16:00:00,30.93,43.16,16.97
Neiva,NE1-in,NE1,in,2019-08-19 20:00:00,29.20,52.18,18.41
Neiva,NE1-in,NE1,in,2019-08-20 0:00:00,28.09,54.23,18.00
Neiva,NE1-in,NE1,in,2019-08-20 4:00:00,27.29,55.80,17.71
Neiva,NE1-in,NE1,in,2019-08-20 8:00:00,27.29,56.38,17.88
Neiva,NE1-in,NE1,in,2019-08-20 12:00:00,31.87,39.43,16.39
Neiva,NE1-in,NE1,in,2019-08-20 16:00:00,33.03,36.93,16.38
Neiva,NE1-in,NE1,in,2019-08-20 20:00:00,30.39,39.71,15.18
Neiva,NE1-in,NE1,in,2019-08-21 0:00:00,28.13,49.76,16.67
Neiva,NE1-in,NE1,in,2019-08-21 4:00:00,26.76,52.52,16.26
Neiva,NE1-in,NE1,in,2019-08-21 8:00:00,27.23,52.06,16.55
Neiva,NE1-in,NE1,in,2019-08-21 12:00:00,31.87,33.90,14.03
